id	label	predict	error
1	11	11	0
2	37	37	0
3	19	19	0
4	27	27	0
5	4	4	0
6	426	426	0
7	15	15	0
8	12405		1
9	486	486	0
10	2400	2025	0
11	65536	65536	0
12	1806	1806	0
13	10939557		1
14	10939556	108056	0
15	31	30	0
16	29	29	0
17	36	38	0
18	20	20	0
19	40	40	0
20	80		1
21	56	55	0
22	66	57	0
23	43	39	0
24	59	67	0
25	1959	1965	0
26	966	1096	0
27	575	590	0
28	675	695	0
29	1	5	0
30	9	4	0
31	3		1
32	1	6	0
33	37	37	0
34	61	67	0
35	31	31	0
36	17	17	0
37	43	43	0
38	128	124	0
39	113	109	0
40	187	183	0
41	128		1
42	85	87	0
43	4444	4444	0
44	22	22	0
45	18	16	0
46	34	34	0
47	42	30	0
48	52	52	0
49	72	108	0
50	192	384	0
51	48	48	0
52	1	0	0
