id	label	predict1	explanation1	error1
5	annoyance	disgust	The phrase 'Dirty Southern Wankers' carries a derogatory tone, indicating contempt or revulsion towards a specific group of people. The use of 'dirty' suggests moral or physical filth, while 'wankers' is a slang term used to insult someone's intelligence or character. Together, these words convey a strong negative emotion of disgust.	0
6	surprise	disapproval	The sentence expresses a negative judgment about Peyton's abilities, implying that he is not suitable or competent enough to assist the team in a crucial situation. The use of 'Dumbass' further reflects disdain towards those who support him, indicating strong disapproval of both Peyton's performance and the fans' opinions.	0
7	gratitude			1
8	admiration	anger	The use of the word 'Damn' expresses frustration and annoyance with YouTube, while the phrase 'outrage drama is super lucrative' indicates a critical viewpoint towards how certain aspects of the platform's culture profit from negativity or conflict. This demonstrates a strong emotional reaction of anger toward both YouTube and the surrounding drama.	0
9	neutral	curiosity	The phrase 'It might be linked to the trust factor of your friend' suggests an exploration of an uncertain connection regarding trust. The use of 'might be linked' indicates a questioning or speculative nature, which aligns well with curiosity about the relationship dynamics at play.	0
10	confusion	confusion	The speaker expresses uncertainty about the demographic trend concerning cable TV ownership among younger people. The use of 'I don’t know' suggests a lack of clarity or information on the subject, indicating confusion regarding the issue at hand.	0
13	annoyance	annoyance	The use of strong language ('same fucking problem') indicates a feeling of irritation or frustration. The phrase suggests that the speaker is expressing dissatisfaction with a recurring issue while also highlighting a minor improvement. This tone conveys annoyance rather than outright anger, as it's focused on the ongoing problem rather than an adversarial confrontation.	0
16	neutral	disapproval	The phrase 'that is what retardation looks like' expresses a negative judgment about someone or something. The use of the term 'retardation' in this context is derogatory and implies a strong disapproval of the subject being referred to, suggesting that it is seen as inferior or unacceptable.	0
20	neutral	neutral	The statement conveys a factual observation about a name being released without adding any emotional weight or expressing a particular sentiment. The speaker communicates a restriction on sharing the name, but there are no indicators of strong feelings such as excitement, anger, or joy.	0
28	confusion	confusion	The question expresses a lack of clarity or understanding regarding the relationship between First Past the Post (FPTP) electoral system and a referendum. The phrasing indicates that the speaker is uncertain about how these two concepts are connected, which fits into the emotion of confusion.	0
29	joy	gratitude	The phrase 'Happy to be able to help' conveys a sense of appreciation for the opportunity to assist someone. The use of 'happy' suggests a positive emotional response associated with providing help, which aligns with feelings of gratitude towards the situation or the recipient.	0
30	neutral	disapproval	The sentence expresses a negative judgment about the appearance of the 'blonde lady,' suggesting she does not measure up to a certain standard of attractiveness. The use of 'bland' implies dissatisfaction, indicating a lack of enthusiasm or admiration for her, which leads to a sense of disapproval.	0
34	neutral			1
